approximator,budget,error,seed
montecarlo,32.0,11360.195743642764,19
montecarlo,64.0,5720.134466136606,19
montecarlo,128.0,3540.060487728585,19
montecarlo,256.0,2220.103873261847,19
montecarlo,512.0,991.0831179310096,19
svarm,32.0,3072.1306826741757,19
svarm,64.0,4398.051021065378,19
svarm,128.0,4111.5971116528635,19
svarm,256.0,1836.172430323662,19
svarm,512.0,490.8190975814178,19
permutation,32.0,912.7241363772505,19
permutation,64.0,1132.469401143255,19
permutation,128.0,1127.301767345741,19
permutation,256.0,1148.6560458051558,19
permutation,512.0,1191.4915878550898,19
regression,32.0,21309.404147093363,19
regression,64.0,815.2195350374766,19
regression,128.0,227.58763103517856,19
regression,256.0,135.74819178944531,19
regression,512.0,99.5464522680631,19
