approximator,budget,error,seed
montecarlo,32.0,11731.4067062543,13
montecarlo,64.0,5921.7039718701035,13
montecarlo,128.0,3650.6033693956315,13
montecarlo,256.0,2294.380876571703,13
montecarlo,512.0,1026.7674104150847,13
svarm,32.0,3177.4924878101833,13
svarm,64.0,4505.483660032618,13
svarm,128.0,4223.333170292561,13
svarm,256.0,1885.6147038727433,13
svarm,512.0,516.1571205511569,13
permutation,32.0,919.8456381507644,13
permutation,64.0,1136.5516782753464,13
permutation,128.0,1154.7524813509901,13
permutation,256.0,1156.4110011995274,13
permutation,512.0,1176.9357313776945,13
regression,32.0,15694.588850213697,13
regression,64.0,133597.2771823997,13
regression,128.0,228.61763667386572,13
regression,256.0,137.729150104812,13
regression,512.0,101.41022381509649,13
