approximator,budget,error,seed
montecarlo,32.0,11915.22025064529,18
montecarlo,64.0,6045.487893355183,18
montecarlo,128.0,3715.5332073975464,18
montecarlo,256.0,2341.204033567706,18
montecarlo,512.0,1045.335648812682,18
svarm,32.0,3228.161463188426,18
svarm,64.0,4634.3435592292235,18
svarm,128.0,4309.276292333484,18
svarm,256.0,1919.7199120850935,18
svarm,512.0,525.5243477551087,18
permutation,32.0,934.3110644465092,18
permutation,64.0,1152.2344158877909,18
permutation,128.0,1155.3861109698894,18
permutation,256.0,1190.7102615674485,18
permutation,512.0,1195.1377523591302,18
regression,32.0,22935.91753197265,18
regression,64.0,917.7169504976588,18
regression,128.0,240.47141565072266,18
regression,256.0,143.75534372858215,18
regression,512.0,103.77766727082413,18
