approximator,budget,error,seed
montecarlo,512.0,94.32678576729582,25
montecarlo,1024.0,55.09645902421805,25
montecarlo,2048.0,35.07477933099674,25
montecarlo,4096.0,22.869764196855442,25
montecarlo,8192.0,13.052870214518803,25
svarm,512.0,113.09003247647584,25
svarm,1024.0,39.31261626917483,25
svarm,2048.0,21.28710459570772,25
svarm,4096.0,13.772502297455983,25
svarm,8192.0,8.162950693528556,25
permutation,512.0,4.908248835948938,25
permutation,1024.0,3.260674345980895,25
permutation,2048.0,1.625473942336375,25
permutation,4096.0,0.8825056023643842,25
permutation,8192.0,0.5515034306939294,25
regression,512.0,3.0778451357344534,25
regression,1024.0,1.5624501190751963,25
regression,2048.0,0.8820475921756601,25
regression,4096.0,0.5478381601220266,25
regression,8192.0,0.3158384272467647,25
