approximator,budget,error,seed
montecarlo,512.0,246.79693176193578,2
montecarlo,1024.0,140.92318195636315,2
montecarlo,2048.0,90.09063400485302,2
montecarlo,4096.0,58.99904887734492,2
montecarlo,8192.0,32.631653514522824,2
svarm,512.0,314.3147891010876,2
svarm,1024.0,81.30297239861952,2
svarm,2048.0,39.39970409887255,2
svarm,4096.0,24.913181487795974,2
svarm,8192.0,14.981424991663433,2
permutation,512.0,2.4736229593560903,2
permutation,1024.0,1.4697613691218103,2
permutation,2048.0,0.6606183322956367,2
permutation,4096.0,0.26309432828345264,2
permutation,8192.0,0.1681214902639679,2
regression,512.0,2.400324181310299,2
regression,1024.0,1.0787675992173527,2
regression,2048.0,0.5252495962338184,2
regression,4096.0,0.29355390299967116,2
regression,8192.0,0.1406286574757661,2
