approximator,budget,error,seed
montecarlo,32.0,11156.223375356436,20
montecarlo,64.0,5642.492291763135,20
montecarlo,128.0,3473.9578604237713,20
montecarlo,256.0,2199.9640184152145,20
montecarlo,512.0,974.202886127833,20
svarm,32.0,3024.69037307212,20
svarm,64.0,4348.678212153391,20
svarm,128.0,4025.8774890378895,20
svarm,256.0,1802.0423850852899,20
svarm,512.0,491.68237186055586,20
permutation,32.0,916.6185247911922,20
permutation,64.0,1135.6290381083536,20
permutation,128.0,1159.8419865060553,20
permutation,256.0,1166.4331674301975,20
permutation,512.0,1195.810979047933,20
regression,32.0,17816.80491345141,20
regression,64.0,2487739.2792113614,20
regression,128.0,226.18142239411014,20
regression,256.0,137.50803120681422,20
regression,512.0,97.36752438810618,20
