approximator,budget,error,seed
montecarlo,32.0,11428.54669114475,28
montecarlo,64.0,5794.606466679777,28
montecarlo,128.0,3569.4906587342302,28
montecarlo,256.0,2241.8122144510994,28
montecarlo,512.0,1001.0421336503666,28
svarm,32.0,3133.6468669330643,28
svarm,64.0,4427.285516336304,28
svarm,128.0,4119.494752438737,28
svarm,256.0,1846.391784914392,28
svarm,512.0,512.3600878050714,28
permutation,32.0,933.8825592990485,28
permutation,64.0,1151.72838693158,28
permutation,128.0,1171.2945023651673,28
permutation,256.0,1184.4032837834852,28
permutation,512.0,1217.3358424581045,28
regression,32.0,16459.57462269784,28
regression,64.0,266492.4519531263,28
regression,128.0,224.37348456468425,28
regression,256.0,136.11903348141064,28
regression,512.0,100.3747543297817,28
