approximator,budget,error,seed
montecarlo,32.0,11526.476651786903,2
montecarlo,64.0,5831.664171205639,2
montecarlo,128.0,3566.8076042492735,2
montecarlo,256.0,2247.5476648045574,2
montecarlo,512.0,1008.8419183362994,2
svarm,32.0,3119.8596394802325,2
svarm,64.0,4443.105403984475,2
svarm,128.0,4117.407505312395,2
svarm,256.0,1846.1449848461787,2
svarm,512.0,513.3991105954367,2
permutation,32.0,903.5179449438978,2
permutation,64.0,1124.7459193519614,2
permutation,128.0,1133.8092545081306,2
permutation,256.0,1146.6897570557355,2
permutation,512.0,1164.378330149658,2
regression,32.0,19337.658834159236,2
regression,64.0,833.0016139712304,2
regression,128.0,222.6637279866581,2
regression,256.0,135.7121367605123,2
regression,512.0,100.65996777284556,2
