approximator,budget,error,seed
montecarlo,512.0,53.46080428581307,17
montecarlo,1024.0,30.2355432902882,17
montecarlo,2048.0,19.269651743861225,17
montecarlo,4096.0,12.590423016211217,17
montecarlo,8192.0,7.035091052736379,17
svarm,512.0,67.31053327980344,17
svarm,1024.0,18.348543702393126,17
svarm,2048.0,9.41845705770691,17
svarm,4096.0,6.032071535042309,17
svarm,8192.0,3.5791132988689096,17
permutation,512.0,1.0072648811772398,17
permutation,1024.0,0.5328870394900358,17
permutation,2048.0,0.26387195701414257,17
permutation,4096.0,0.1974894535435273,17
permutation,8192.0,0.12949089348887155,17
regression,512.0,0.8907861346208235,17
regression,1024.0,0.41775724730991387,17
regression,2048.0,0.20724956169047187,17
regression,4096.0,0.1316563378374976,17
regression,8192.0,0.07410387465728543,17
