approximator,budget,error,seed
montecarlo,512.0,93.3178841681752,9
montecarlo,1024.0,55.09515865367966,9
montecarlo,2048.0,34.779983616006575,9
montecarlo,4096.0,22.753311598827818,9
montecarlo,8192.0,13.095219698784323,9
svarm,512.0,113.02411910197472,9
svarm,1024.0,39.656527790446766,9
svarm,2048.0,21.37266004282217,9
svarm,4096.0,13.867840223973104,9
svarm,8192.0,8.305744009897367,9
permutation,512.0,4.903127446367636,9
permutation,1024.0,3.017433692034418,9
permutation,2048.0,1.647456061605064,9
permutation,4096.0,0.8586058838355287,9
permutation,8192.0,0.5980997962071983,9
regression,512.0,3.095251318811017,9
regression,1024.0,1.5452247425571795,9
regression,2048.0,0.8804063998043199,9
regression,4096.0,0.5609457835497591,9
regression,8192.0,0.3177023457039822,9
