approximator,budget,error,seed
montecarlo,32.0,11840.491461702955,12
montecarlo,64.0,6001.661234528865,12
montecarlo,128.0,3674.460514016651,12
montecarlo,256.0,2299.2220158983514,12
montecarlo,512.0,1036.5911413345277,12
svarm,32.0,3215.1568777322177,12
svarm,64.0,4569.643281259681,12
svarm,128.0,4278.580574312098,12
svarm,256.0,1899.3477350612345,12
svarm,512.0,515.6987839042287,12
permutation,32.0,953.481467862843,12
permutation,64.0,1160.4688561487437,12
permutation,128.0,1165.041261608316,12
permutation,256.0,1185.258374328195,12
permutation,512.0,1179.6857552447002,12
regression,32.0,16296.813226218748,12
regression,64.0,903.4029111657527,12
regression,128.0,243.80468712832254,12
regression,256.0,143.8571664148135,12
regression,512.0,104.5851537072182,12
