approximator,budget,error,seed
montecarlo,512.0,93.41766491479909,12
montecarlo,1024.0,54.2752571520615,12
montecarlo,2048.0,35.01864979216175,12
montecarlo,4096.0,23.20411124694566,12
montecarlo,8192.0,13.104256925754076,12
svarm,512.0,113.77159892152585,12
svarm,1024.0,39.33407233580385,12
svarm,2048.0,21.454877390317552,12
svarm,4096.0,13.749831009639536,12
svarm,8192.0,8.265538465843726,12
permutation,512.0,4.947527220182918,12
permutation,1024.0,3.0781685319188345,12
permutation,2048.0,1.6380452221938062,12
permutation,4096.0,0.9588382969885405,12
permutation,8192.0,0.6093589535830898,12
regression,512.0,3.057269356671923,12
regression,1024.0,1.5601005737000744,12
regression,2048.0,0.8876662595320508,12
regression,4096.0,0.5589490928854308,12
regression,8192.0,0.3148224186456352,12
