approximator,budget,error,seed
montecarlo,32.0,12048.757827379046,11
montecarlo,64.0,6058.869824427934,11
montecarlo,128.0,3758.4902757748237,11
montecarlo,256.0,2355.152379159105,11
montecarlo,512.0,1055.4189269060735,11
svarm,32.0,3276.568773195148,11
svarm,64.0,4681.887758703891,11
svarm,128.0,4308.496763884994,11
svarm,256.0,1960.4528081560672,11
svarm,512.0,547.3787652538483,11
permutation,32.0,990.1446094393714,11
permutation,64.0,1215.876546865117,11
permutation,128.0,1229.1806067789018,11
permutation,256.0,1259.551148735054,11
permutation,512.0,1274.2464108111126,11
regression,32.0,23050.289150547636,11
regression,64.0,944.226495229921,11
regression,128.0,248.28779612378486,11
regression,256.0,146.49083144593402,11
regression,512.0,104.47617443226814,11
