approximator,budget,error,seed
montecarlo,32.0,11317.813942966084,23
montecarlo,64.0,5757.30070786623,23
montecarlo,128.0,3545.150752016481,23
montecarlo,256.0,2244.7558473194267,23
montecarlo,512.0,996.0892908886193,23
svarm,32.0,3100.7986002117964,23
svarm,64.0,4421.751674117286,23
svarm,128.0,4105.889455859904,23
svarm,256.0,1833.8183957480485,23
svarm,512.0,501.5147465935046,23
permutation,32.0,899.7509345468155,23
permutation,64.0,1119.2298997659173,23
permutation,128.0,1106.7996291827149,23
permutation,256.0,1143.8497531383834,23
permutation,512.0,1153.7562050105412,23
regression,32.0,16078.385881987202,23
regression,64.0,826.2509597952132,23
regression,128.0,224.26142338067237,23
regression,256.0,136.22182914206314,23
regression,512.0,101.18123184214342,23
