approximator,budget,error,seed
montecarlo,32.0,11825.764378365224,26
montecarlo,64.0,5983.400652680192,26
montecarlo,128.0,3668.1090584332883,26
montecarlo,256.0,2311.746776218419,26
montecarlo,512.0,1030.8987192921163,26
svarm,32.0,3184.3510193192024,26
svarm,64.0,4552.605099245126,26
svarm,128.0,4255.828790536548,26
svarm,256.0,1901.191065869176,26
svarm,512.0,516.856220539914,26
permutation,32.0,964.5997725726515,26
permutation,64.0,1174.040866826821,26
permutation,128.0,1183.9374572449792,26
permutation,256.0,1208.942730064279,26
permutation,512.0,1220.3532671709722,26
regression,32.0,28069.79575349145,26
regression,64.0,937.1659722557633,26
regression,128.0,246.5620908587488,26
regression,256.0,142.6111552714422,26
regression,512.0,105.3959281058957,26
