approximator,budget,error,seed
montecarlo,512.0,52.598325810424555,9
montecarlo,1024.0,30.28740849813164,9
montecarlo,2048.0,19.242399289492713,9
montecarlo,4096.0,12.84551565278282,9
montecarlo,8192.0,7.024297615823928,9
svarm,512.0,67.76494231278637,9
svarm,1024.0,18.98497043239374,9
svarm,2048.0,9.359779653567925,9
svarm,4096.0,5.906333183266699,9
svarm,8192.0,3.59722738415309,9
permutation,512.0,0.9987807768862669,9
permutation,1024.0,0.5962374886545508,9
permutation,2048.0,0.3340779497111103,9
permutation,4096.0,0.16613552791272046,9
permutation,8192.0,0.11219263967702768,9
regression,512.0,0.9178731841359862,9
regression,1024.0,0.394072887924829,9
regression,2048.0,0.22763655184656412,9
regression,4096.0,0.132096907267698,9
regression,8192.0,0.07543377321483219,9
