approximator,budget,error,seed
montecarlo,512.0,248.10646236197243,29
montecarlo,1024.0,138.53569029634124,29
montecarlo,2048.0,89.95646562991075,29
montecarlo,4096.0,58.8893289319794,29
montecarlo,8192.0,32.70977736175511,29
svarm,512.0,317.63450066713483,29
svarm,1024.0,81.08528265328044,29
svarm,2048.0,39.38191473834489,29
svarm,4096.0,24.97390832568374,29
svarm,8192.0,14.659894792595509,29
permutation,512.0,2.543471363227271,29
permutation,1024.0,1.456098310040167,29
permutation,2048.0,0.5812844852502836,29
permutation,4096.0,0.267286662302437,29
permutation,8192.0,0.17648332882080284,29
regression,512.0,2.547710888516382,29
regression,1024.0,1.0453190180422847,29
regression,2048.0,0.536776801002367,29
regression,4096.0,0.26975046648915313,29
regression,8192.0,0.1443604981821242,29
