approximator,budget,error,seed
montecarlo,512.0,52.27216234388439,28
montecarlo,1024.0,30.47577106068963,28
montecarlo,2048.0,19.078648489494714,28
montecarlo,4096.0,12.769836111898407,28
montecarlo,8192.0,7.008652986729726,28
svarm,512.0,67.5118981333321,28
svarm,1024.0,18.457083485943997,28
svarm,2048.0,9.472480191827426,28
svarm,4096.0,5.937826896032151,28
svarm,8192.0,3.556424263879031,28
permutation,512.0,1.1282979445554977,28
permutation,1024.0,0.634238471868988,28
permutation,2048.0,0.37343586866701145,28
permutation,4096.0,0.17177039944310976,28
permutation,8192.0,0.12716314278120783,28
regression,512.0,0.8660566569760731,28
regression,1024.0,0.4222862018585499,28
regression,2048.0,0.22399860225515,28
regression,4096.0,0.12723750995912173,28
regression,8192.0,0.0714966039645138,28
