approximator,budget,error,seed
montecarlo,512.0,53.20152796395506,24
montecarlo,1024.0,30.089862145561447,24
montecarlo,2048.0,19.234551904010942,24
montecarlo,4096.0,12.877214468422851,24
montecarlo,8192.0,7.01362283982402,24
svarm,512.0,66.24543442465651,24
svarm,1024.0,18.613493582741405,24
svarm,2048.0,9.449681478178286,24
svarm,4096.0,5.961136770460422,24
svarm,8192.0,3.602968353930969,24
permutation,512.0,1.0893840066293763,24
permutation,1024.0,0.648268753254674,24
permutation,2048.0,0.38400593638709507,24
permutation,4096.0,0.17448971219165402,24
permutation,8192.0,0.1087035326353951,24
regression,512.0,0.8573951585490719,24
regression,1024.0,0.42145413391785774,24
regression,2048.0,0.22290872744628645,24
regression,4096.0,0.12632930469435646,24
regression,8192.0,0.07176774980470174,24
