approximator,budget,error,seed
montecarlo,512.0,52.88691426646938,11
montecarlo,1024.0,30.294428731783242,11
montecarlo,2048.0,19.20507029755715,11
montecarlo,4096.0,12.710027383536445,11
montecarlo,8192.0,7.161250680823922,11
svarm,512.0,67.8711103479135,11
svarm,1024.0,18.82214581004094,11
svarm,2048.0,9.391014631746545,11
svarm,4096.0,5.9876045675858505,11
svarm,8192.0,3.6110370966276166,11
permutation,512.0,1.0849783925353396,11
permutation,1024.0,0.6439225310304626,11
permutation,2048.0,0.25492131494390136,11
permutation,4096.0,0.17456133779657734,11
permutation,8192.0,0.10683632767280504,11
regression,512.0,0.8591273760293667,11
regression,1024.0,0.41106189355351863,11
regression,2048.0,0.22283737952368574,11
regression,4096.0,0.13041556165087853,11
regression,8192.0,0.07237211847495659,11
