approximator,budget,error,seed
montecarlo,512.0,93.55047517018258,23
montecarlo,1024.0,54.66038344565558,23
montecarlo,2048.0,35.34919581814291,23
montecarlo,4096.0,22.760339293928396,23
montecarlo,8192.0,13.087348907185236,23
svarm,512.0,112.30401392503317,23
svarm,1024.0,39.436929842285764,23
svarm,2048.0,21.615922863113813,23
svarm,4096.0,13.557831645824274,23
svarm,8192.0,8.141481994741358,23
permutation,512.0,4.850337161239509,23
permutation,1024.0,3.0564913724761706,23
permutation,2048.0,1.5833561509522653,23
permutation,4096.0,0.9077582987722548,23
permutation,8192.0,0.5649295578410553,23
regression,512.0,3.1254464180300534,23
regression,1024.0,1.5654835487350025,23
regression,2048.0,0.9242789417464218,23
regression,4096.0,0.5506882165894806,23
regression,8192.0,0.31701830077432797,23
