approximator,budget,error,seed
montecarlo,512.0,245.56368553178993,25
montecarlo,1024.0,141.57361558525093,25
montecarlo,2048.0,90.71973159857414,25
montecarlo,4096.0,59.08868978988344,25
montecarlo,8192.0,32.834480367651565,25
svarm,512.0,318.99746488370334,25
svarm,1024.0,81.09377413746337,25
svarm,2048.0,38.708660919193804,25
svarm,4096.0,24.880963573518894,25
svarm,8192.0,14.83220965340751,25
permutation,512.0,2.441384067909509,25
permutation,1024.0,1.4277077149272317,25
permutation,2048.0,0.4744137739419712,25
permutation,4096.0,0.25404066820358445,25
permutation,8192.0,0.18844555441743582,25
regression,512.0,2.465585252097542,25
regression,1024.0,1.053579244266067,25
regression,2048.0,0.5066972302845502,25
regression,4096.0,0.29091144796887475,25
regression,8192.0,0.1427761262072637,25
