approximator,budget,error,seed
montecarlo,512.0,246.49365577707465,20
montecarlo,1024.0,141.50001139377318,20
montecarlo,2048.0,90.31413689287909,20
montecarlo,4096.0,59.571425925760025,20
montecarlo,8192.0,32.720657025581055,20
svarm,512.0,318.00122946341344,20
svarm,1024.0,79.54227948029381,20
svarm,2048.0,39.27648079174734,20
svarm,4096.0,24.818768304374643,20
svarm,8192.0,14.701969276227153,20
permutation,512.0,2.310111643831396,20
permutation,1024.0,1.3962095012936044,20
permutation,2048.0,0.5858590518210547,20
permutation,4096.0,0.25558946756279943,20
permutation,8192.0,0.19827553779886653,20
regression,512.0,2.388985268786992,20
regression,1024.0,1.0706841003098975,20
regression,2048.0,0.5351761912162789,20
regression,4096.0,0.27337661931562074,20
regression,8192.0,0.14249227300550935,20
