ds,is_td,cindex,lb,ub
hdfail,False,0.8774538618649952,0.8682238250000257,0.8869054567610656
e1684,False,0.540407156076496,0.4832847401748628,0.5968182993021452
phpl04K8a,False,0.6167171207534476,0.567721831725853,0.6591903180446165
prostate,False,0.6258281419954514,0.5895687861419252,0.662379600476248
cancer,False,0.6087492298213185,0.551811618927898,0.6711201271874591
DBCD,False,0.7075767063243582,0.6504396331663043,0.7777434572894567
LeukSurv,False,0.6573259476485283,0.631238435980702,0.6793586131983617
Dialysis,False,0.7192532290985318,0.7027590158966375,0.7366760206998922
Melanoma,False,0.6981351981351981,0.6180722891566265,0.7736661029571478
d.oropha.rec,False,0.6909212283044058,0.6365610123806478,0.7616924593234737
pharmacoSmoking,False,0.616822429906542,0.5482863688143911,0.6825222884010185
zinc,False,0.7598076923076923,0.6866881908642284,0.8343206316623959
nki70,False,0.7286995515695067,0.6533266331658292,0.8034397845325124
burn,False,0.47584033613445376,0.3563900110172604,0.6049323315288408
breast,False,0.8611111111111112,0.8007653061224489,0.9166666666666666
stagec,False,0.6719330855018587,0.5765577712233906,0.7753291448666266
ovarian,False,0.7272727272727273,0.5214285714285715,0.9473684210526315
actg,False,0.7482968806023664,0.6761320390032305,0.8067352658591816
rhc,False,0.7075490837352959,0.6955971640510732,0.7173861813784267
rdata,False,0.6598441117004131,0.6342424074175048,0.6837757185755775
vlbw,False,0.9388782358581016,0.9240865232521354,0.9584601975711825
grace,False,0.7164045156109773,0.6828055517762667,0.7464948814678835
TRACE,False,0.7219478517213337,0.7055056009112373,0.7405734303238473
whas500,False,0.8257603517772077,0.7943171993260608,0.8632543651493729
dataDIVAT1,False,0.5694684663419239,0.5450600211966933,0.5961834993758393
Bergamaschi,False,0.7096774193548387,0.5619369770340039,0.848206337902795
AML_Bull,False,0.6111111111111112,0.5262053841500303,0.7038821227734131
prostateSurvival,False,0.7455148980552166,0.7224110999212342,0.76587008402153
nwtco,False,0.6481334091339777,0.6206138194590191,0.6778327378947896
divorce,False,0.5474573961151719,0.5279004899196976,0.5679327688804094
dataDIVAT3,False,0.6309651125820158,0.5938006706225215,0.6690815586473182
uis,False,0.5452151009657594,0.5033986723736005,0.5824279652787075
colon,False,0.6550090815199971,0.625088492463311,0.6860243789987408
glioma,False,0.8571428571428571,0.7814141414141414,0.9245283018867925
follic,False,0.5510117246596067,0.5134884580420124,0.5940799496384122
mgus,False,0.7064009198926792,0.661591178837073,0.7617122008426356
Aids2,False,0.5430807126324507,0.5247764494963774,0.5618701577650879
Z243,False,0.8378378378378378,0.8050569620253164,0.8737691779253491
veteran,False,0.7002457002457002,0.639037313924187,0.7732183512215653
chop,False,0.635276207046542,0.5970368940165476,0.6877828984739612
wpbc,False,0.6650246305418719,0.547884817726063,0.7612317541241009
ova,False,0.6150186567164179,0.5801245311522355,0.649571036929018
micro.censure,False,0.7272727272727273,0.628175313059034,0.8640984743411927
MCLcleaned,False,0.6553191489361702,0.556521164021164,0.7531081742535487
cost,False,0.6551574564066973,0.6197305874582981,0.6846092938620503
gse1992,False,0.6374045801526718,0.480563231230525,0.8058549633445611
smarto,False,0.6903744434151152,0.6617320940698745,0.7216156854196213
NSBCD,False,0.7142857142857143,0.6214771673023399,0.8064736885111946
retinopathy,False,0.6258520575612219,0.5720224405051758,0.6755826951042919
support2,False,0.8233420385220048,0.8191992066671543,0.8279981959604354
pbc,False,0.7611411911703457,0.7073170789279052,0.8118045992865104
Pbc3,False,0.7954198473282442,0.7336687315978287,0.8502795185709023
UnempDur,False,0.6653390823687195,0.6462393824039081,0.6825970309100469
cgd,False,0.5015479876160991,0.38870967741935486,0.6304682274247492
acath,False,0.563087884912883,0.5478133792067248,0.5813610274253357
scania,False,0.549504374534624,0.5254918961313838,0.5739752661572598
GBSG2,False,0.7232001334779344,0.6901487794599653,0.7577210310999711
gse3143,False,0.6945054945054945,0.5864478674562512,0.7860882400192787
Unemployment,False,0.5104057362714236,0.4581592089882906,0.5572669145568235
gse4335,False,0.698051948051948,0.6103730135679017,0.77929831895793
rott2,False,0.7124316097793233,0.6956248195353173,0.7268412783730257
DLBCL,False,0.6172713336739908,0.5634720447623607,0.6676146853874155
dataOvarian1,False,0.6213575664490806,0.5945652875237462,0.6507675608722844
diabetes,False,0.5723119636547198,0.5094747578340436,0.6315894916034686
vdv,False,0.6,0.5136612021857924,0.711584699453552
hepatoCellular,False,0.7598849748382459,0.7045792559315247,0.8234402438838812
flchain,False,0.9343132812377034,0.9319044008293627,0.9371076126088673
Framingham,False,0.7035292528917615,0.6889684898308206,0.7182101295761264
dataDIVAT2,False,0.5690546106322935,0.5397632356299112,0.6051144223658899
